,product,date,region,sales
0,pink morsel,2018-02-06,north,$1638.00
1,pink morsel,2018-02-06,south,$1647.00
2,pink morsel,2018-02-06,east,$1731.00
3,pink morsel,2018-02-06,west,$1557.00
28,pink morsel,2018-02-07,north,$1587.00
29,pink morsel,2018-02-07,south,$1698.00
30,pink morsel,2018-02-07,east,$1542.00
31,pink morsel,2018-02-07,west,$1635.00
56,pink morsel,2018-02-08,north,$1602.00
57,pink morsel,2018-02-08,south,$1536.00
58,pink morsel,2018-02-08,east,$1503.00
59,pink morsel,2018-02-08,west,$1701.00
84,pink morsel,2018-02-09,north,$1758.00
85,pink morsel,2018-02-09,south,$1662.00
86,pink morsel,2018-02-09,east,$1782.00
87,pink morsel,2018-02-09,west,$1515.00
112,pink morsel,2018-02-10,north,$1662.00
113,pink morsel,2018-02-10,south,$1557.00
114,pink morsel,2018-02-10,east,$1650.00
115,pink morsel,2018-02-10,west,$1674.00
140,pink morsel,2018-02-11,north,$1554.00
141,pink morsel,2018-02-11,south,$1587.00
142,pink morsel,2018-02-11,east,$1563.00
143,pink morsel,2018-02-11,west,$1764.00
168,pink morsel,2018-02-12,north,$1758.00
169,pink morsel,2018-02-12,south,$1608.00
170,pink morsel,2018-02-12,east,$1569.00
171,pink morsel,2018-02-12,west,$1653.00
196,pink morsel,2018-02-13,north,$1572.00
197,pink morsel,2018-02-13,south,$1716.00
198,pink morsel,2018-02-13,east,$1773.00
199,pink morsel,2018-02-13,west,$1725.00
224,pink morsel,2018-02-14,north,$1767.00
225,pink morsel,2018-02-14,south,$1710.00
226,pink morsel,2018-02-14,east,$1698.00
227,pink morsel,2018-02-14,west,$1512.00
252,pink morsel,2018-02-15,north,$1746.00
253,pink morsel,2018-02-15,south,$1734.00
254,pink morsel,2018-02-15,east,$1524.00
255,pink morsel,2018-02-15,west,$1614.00
280,pink morsel,2018-02-16,north,$1578.00
281,pink morsel,2018-02-16,south,$1782.00
282,pink morsel,2018-02-16,east,$1527.00
283,pink morsel,2018-02-16,west,$1752.00
308,pink morsel,2018-02-17,north,$1785.00
309,pink morsel,2018-02-17,south,$1689.00
310,pink morsel,2018-02-17,east,$1641.00
311,pink morsel,2018-02-17,west,$1575.00
336,pink morsel,2018-02-18,north,$1644.00
337,pink morsel,2018-02-18,south,$1674.00
338,pink morsel,2018-02-18,east,$1551.00
339,pink morsel,2018-02-18,west,$1737.00
364,pink morsel,2018-02-19,north,$1563.00
365,pink morsel,2018-02-19,south,$1647.00
366,pink morsel,2018-02-19,east,$1605.00
367,pink morsel,2018-02-19,west,$1539.00
392,pink morsel,2018-02-20,north,$1698.00
393,pink morsel,2018-02-20,south,$1575.00
394,pink morsel,2018-02-20,east,$1500.00
395,pink morsel,2018-02-20,west,$1551.00
420,pink morsel,2018-02-21,north,$1737.00
421,pink morsel,2018-02-21,south,$1542.00
422,pink morsel,2018-02-21,east,$1665.00
423,pink morsel,2018-02-21,west,$1548.00
448,pink morsel,2018-02-22,north,$1635.00
449,pink morsel,2018-02-22,south,$1632.00
450,pink morsel,2018-02-22,east,$1668.00
451,pink morsel,2018-02-22,west,$1764.00
476,pink morsel,2018-02-23,north,$1533.00
477,pink morsel,2018-02-23,south,$1563.00
478,pink morsel,2018-02-23,east,$1641.00
479,pink morsel,2018-02-23,west,$1773.00
504,pink morsel,2018-02-24,north,$1629.00
505,pink morsel,2018-02-24,south,$1698.00
506,pink morsel,2018-02-24,east,$1725.00
507,pink morsel,2018-02-24,west,$1722.00
532,pink morsel,2018-02-25,north,$1596.00
533,pink morsel,2018-02-25,south,$1710.00
534,pink morsel,2018-02-25,east,$1635.00
535,pink morsel,2018-02-25,west,$1659.00
560,pink morsel,2018-02-26,north,$1686.00
561,pink morsel,2018-02-26,south,$1533.00
562,pink morsel,2018-02-26,east,$1524.00
563,pink morsel,2018-02-26,west,$1530.00
588,pink morsel,2018-02-27,north,$1665.00
589,pink morsel,2018-02-27,south,$1695.00
590,pink morsel,2018-02-27,east,$1578.00
591,pink morsel,2018-02-27,west,$1620.00
616,pink morsel,2018-02-28,north,$1767.00
617,pink morsel,2018-02-28,south,$1593.00
618,pink morsel,2018-02-28,east,$1743.00
619,pink morsel,2018-02-28,west,$1557.00
644,pink morsel,2018-03-01,north,$1668.00
645,pink morsel,2018-03-01,south,$1782.00
646,pink morsel,2018-03-01,east,$1527.00
647,pink morsel,2018-03-01,west,$1668.00
672,pink morsel,2018-03-02,north,$1635.00
673,pink morsel,2018-03-02,south,$1569.00
674,pink morsel,2018-03-02,east,$1746.00
675,pink morsel,2018-03-02,west,$1773.00
700,pink morsel,2018-03-03,north,$1539.00
701,pink morsel,2018-03-03,south,$1500.00
702,pink morsel,2018-03-03,east,$1569.00
703,pink morsel,2018-03-03,west,$1557.00
728,pink morsel,2018-03-04,north,$1773.00
729,pink morsel,2018-03-04,south,$1644.00
730,pink morsel,2018-03-04,east,$1614.00
731,pink morsel,2018-03-04,west,$1674.00
756,pink morsel,2018-03-05,north,$1533.00
757,pink morsel,2018-03-05,south,$1653.00
758,pink morsel,2018-03-05,east,$1557.00
759,pink morsel,2018-03-05,west,$1746.00
784,pink morsel,2018-03-06,north,$1719.00
785,pink morsel,2018-03-06,south,$1719.00
786,pink morsel,2018-03-06,east,$1659.00
787,pink morsel,2018-03-06,west,$1800.00
812,pink morsel,2018-03-07,north,$1581.00
813,pink morsel,2018-03-07,south,$1602.00
814,pink morsel,2018-03-07,east,$1608.00
815,pink morsel,2018-03-07,west,$1650.00
840,pink morsel,2018-03-08,north,$1611.00
841,pink morsel,2018-03-08,south,$1530.00
842,pink morsel,2018-03-08,east,$1698.00
843,pink morsel,2018-03-08,west,$1668.00
868,pink morsel,2018-03-09,north,$1746.00
869,pink morsel,2018-03-09,south,$1524.00
870,pink morsel,2018-03-09,east,$1506.00
871,pink morsel,2018-03-09,west,$1704.00
896,pink morsel,2018-03-10,north,$1788.00
897,pink morsel,2018-03-10,south,$1719.00
898,pink morsel,2018-03-10,east,$1746.00
899,pink morsel,2018-03-10,west,$1584.00
924,pink morsel,2018-03-11,north,$1692.00
925,pink morsel,2018-03-11,south,$1635.00
926,pink morsel,2018-03-11,east,$1608.00
927,pink morsel,2018-03-11,west,$1590.00
952,pink morsel,2018-03-12,north,$1599.00
953,pink morsel,2018-03-12,south,$1518.00
954,pink morsel,2018-03-12,east,$1602.00
955,pink morsel,2018-03-12,west,$1659.00
980,pink morsel,2018-03-13,north,$1644.00
981,pink morsel,2018-03-13,south,$1611.00
982,pink morsel,2018-03-13,east,$1554.00
983,pink morsel,2018-03-13,west,$1515.00
1008,pink morsel,2018-03-14,north,$1515.00
1009,pink morsel,2018-03-14,south,$1632.00
1010,pink morsel,2018-03-14,east,$1512.00
1011,pink morsel,2018-03-14,west,$1776.00
1036,pink morsel,2018-03-15,north,$1677.00
1037,pink morsel,2018-03-15,south,$1503.00
1038,pink morsel,2018-03-15,east,$1605.00
1039,pink morsel,2018-03-15,west,$1647.00
1064,pink morsel,2018-03-16,north,$1506.00
1065,pink morsel,2018-03-16,south,$1737.00
1066,pink morsel,2018-03-16,east,$1590.00
1067,pink morsel,2018-03-16,west,$1767.00
1092,pink morsel,2018-03-17,north,$1593.00
1093,pink morsel,2018-03-17,south,$1614.00
1094,pink morsel,2018-03-17,east,$1710.00
1095,pink morsel,2018-03-17,west,$1662.00
1120,pink morsel,2018-03-18,north,$1650.00
1121,pink morsel,2018-03-18,south,$1755.00
1122,pink morsel,2018-03-18,east,$1698.00
1123,pink morsel,2018-03-18,west,$1659.00
1148,pink morsel,2018-03-19,north,$1683.00
1149,pink morsel,2018-03-19,south,$1509.00
1150,pink morsel,2018-03-19,east,$1500.00
1151,pink morsel,2018-03-19,west,$1545.00
1176,pink morsel,2018-03-20,north,$1647.00
1177,pink morsel,2018-03-20,south,$1614.00
1178,pink morsel,2018-03-20,east,$1629.00
1179,pink morsel,2018-03-20,west,$1677.00
1204,pink morsel,2018-03-21,north,$1743.00
1205,pink morsel,2018-03-21,south,$1569.00
1206,pink morsel,2018-03-21,east,$1593.00
1207,pink morsel,2018-03-21,west,$1578.00
1232,pink morsel,2018-03-22,north,$1578.00
1233,pink morsel,2018-03-22,south,$1581.00
1234,pink morsel,2018-03-22,east,$1653.00
1235,pink morsel,2018-03-22,west,$1578.00
1260,pink morsel,2018-03-23,north,$1761.00
1261,pink morsel,2018-03-23,south,$1611.00
1262,pink morsel,2018-03-23,east,$1749.00
1263,pink morsel,2018-03-23,west,$1764.00
1288,pink morsel,2018-03-24,north,$1716.00
1289,pink morsel,2018-03-24,south,$1710.00
1290,pink morsel,2018-03-24,east,$1800.00
1291,pink morsel,2018-03-24,west,$1728.00
1316,pink morsel,2018-03-25,north,$1743.00
1317,pink morsel,2018-03-25,south,$1764.00
1318,pink morsel,2018-03-25,east,$1740.00
1319,pink morsel,2018-03-25,west,$1707.00
1344,pink morsel,2018-03-26,north,$1509.00
1345,pink morsel,2018-03-26,south,$1641.00
1346,pink morsel,2018-03-26,east,$1533.00
1347,pink morsel,2018-03-26,west,$1752.00
1372,pink morsel,2018-03-27,north,$1767.00
1373,pink morsel,2018-03-27,south,$1590.00
1374,pink morsel,2018-03-27,east,$1533.00
1375,pink morsel,2018-03-27,west,$1704.00
1400,pink morsel,2018-03-28,north,$1671.00
1401,pink morsel,2018-03-28,south,$1527.00
1402,pink morsel,2018-03-28,east,$1524.00
1403,pink morsel,2018-03-28,west,$1629.00
1428,pink morsel,2018-03-29,north,$1722.00
1429,pink morsel,2018-03-29,south,$1557.00
1430,pink morsel,2018-03-29,east,$1686.00
1431,pink morsel,2018-03-29,west,$1779.00
1456,pink morsel,2018-03-30,north,$1734.00
1457,pink morsel,2018-03-30,south,$1776.00
1458,pink morsel,2018-03-30,east,$1554.00
1459,pink morsel,2018-03-30,west,$1725.00
1484,pink morsel,2018-03-31,north,$1617.00
1485,pink morsel,2018-03-31,south,$1635.00
1486,pink morsel,2018-03-31,east,$1605.00
1487,pink morsel,2018-03-31,west,$1785.00
1512,pink morsel,2018-04-01,north,$1761.00
1513,pink morsel,2018-04-01,south,$1530.00
1514,pink morsel,2018-04-01,east,$1710.00
1515,pink morsel,2018-04-01,west,$1506.00
1540,pink morsel,2018-04-02,north,$1509.00
1541,pink morsel,2018-04-02,south,$1797.00
1542,pink morsel,2018-04-02,east,$1662.00
1543,pink morsel,2018-04-02,west,$1530.00
1568,pink morsel,2018-04-03,north,$1767.00
1569,pink morsel,2018-04-03,south,$1767.00
1570,pink morsel,2018-04-03,east,$1614.00
1571,pink morsel,2018-04-03,west,$1533.00
1596,pink morsel,2018-04-04,north,$1767.00
1597,pink morsel,2018-04-04,south,$1761.00
1598,pink morsel,2018-04-04,east,$1566.00
1599,pink morsel,2018-04-04,west,$1623.00
1624,pink morsel,2018-04-05,north,$1506.00
1625,pink morsel,2018-04-05,south,$1512.00
1626,pink morsel,2018-04-05,east,$1692.00
1627,pink morsel,2018-04-05,west,$1749.00
1652,pink morsel,2018-04-06,north,$1701.00
1653,pink morsel,2018-04-06,south,$1752.00
1654,pink morsel,2018-04-06,east,$1632.00
1655,pink morsel,2018-04-06,west,$1515.00
1680,pink morsel,2018-04-07,north,$1725.00
1681,pink morsel,2018-04-07,south,$1611.00
1682,pink morsel,2018-04-07,east,$1788.00
1683,pink morsel,2018-04-07,west,$1617.00
1708,pink morsel,2018-04-08,north,$1656.00
1709,pink morsel,2018-04-08,south,$1674.00
1710,pink morsel,2018-04-08,east,$1557.00
1711,pink morsel,2018-04-08,west,$1701.00
1736,pink morsel,2018-04-09,north,$1686.00
1737,pink morsel,2018-04-09,south,$1782.00
1738,pink morsel,2018-04-09,east,$1641.00
1739,pink morsel,2018-04-09,west,$1557.00
1764,pink morsel,2018-04-10,north,$1686.00
1765,pink morsel,2018-04-10,south,$1527.00
1766,pink morsel,2018-04-10,east,$1698.00
1767,pink morsel,2018-04-10,west,$1728.00
1792,pink morsel,2018-04-11,north,$1671.00
1793,pink morsel,2018-04-11,south,$1527.00
1794,pink morsel,2018-04-11,east,$1581.00
1795,pink morsel,2018-04-11,west,$1764.00
1820,pink morsel,2018-04-12,north,$1653.00
1821,pink morsel,2018-04-12,south,$1626.00
1822,pink morsel,2018-04-12,east,$1782.00
1823,pink morsel,2018-04-12,west,$1749.00
1848,pink morsel,2018-04-13,north,$1539.00
1849,pink morsel,2018-04-13,south,$1752.00
